City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,west island,-12.1568,96.8225,26.99,74,20,2.06,CC,1736874263
83,santa elena de uairen,4.6167,-61.1333,26.92,38,97,2.16,VE,1736874264
84,bowen,-20.0167,148.2333,26.65,84,84,4.43,AU,1736874267
85,kiunga,-6.1219,141.2906,23.41,98,100,0.65,PG,1736874268
86,egilsstadir,65.2653,-14.3948,6.95,81,75,8.23,IS,1736874269
87,iqaluit,63.7506,-68.5145,-25.15,69,100,0.0,CA,1736874271
88,katsuura,35.1333,140.3,9.24,70,0,5.68,JP,1736874272
89,puerto ayora,-0.7393,-90.3518,24.75,97,86,2.24,EC,1736874274
90,i-n-salah,27.1935,2.4607,13.78,28,0,4.4,DZ,1736874276
91,xinpu,34.5997,119.1594,-2.16,28,37,4.08,CN,1736874277
92,barentu,15.1139,37.5928,25.82,38,3,6.9,ER,1736874278
93,tsukawaki,33.2667,131.15,5.99,90,91,3.76,JP,1736874280
94,gabrovo,42.8747,25.3342,-1.72,74,99,1.42,BG,1736874281
95,margaret river,-33.95,115.0667,12.74,76,6,3.29,AU,1736874282
96,midleton,51.9153,-8.1805,10.97,96,100,3.47,IE,1736874284
97,sanctuary point,-35.1114,150.629,19.7,95,38,0.65,AU,1736874285
98,prado,-17.3411,-39.2208,26.78,73,100,3.78,BR,1736874286
99,port lincoln,-34.7333,135.8667,18.74,88,100,7.87,AU,1736874288
100,aykhal,66.0,111.5,-24.39,99,100,2.09,RU,1736874289
101,invercargill,-46.4,168.35,6.0,97,92,0.82,NZ,1736874290
102,enewetak,11.3474,162.3373,26.97,78,41,11.14,MH,1736874292
103,mili,6.0815,171.735,27.61,68,59,8.84,MH,1736874293
104,bonthe,7.5264,-12.505,29.7,50,32,5.26,SL,1736874192
105,hermanus,-34.4187,19.2345,16.0,70,86,5.58,ZA,1736874296
106,viedma,-40.8135,-62.9967,25.57,28,100,0.79,AR,1736874297
107,kapuskasing,49.4169,-82.4331,-15.95,85,100,3.6,CA,1736874298
108,sibenik,43.7272,15.9058,5.21,38,0,2.24,HR,1736874300
109,qaqortoq,60.7167,-46.0333,-12.38,69,12,2.39,GL,1736874301
110,tsiombe,-25.3,45.4833,24.34,93,100,2.89,MG,1736874302
111,nar'yan-mar,67.6713,53.087,-6.34,97,100,2.49,RU,1736874304
112,conselheiro pena,-19.1722,-41.4722,26.47,78,100,1.56,BR,1736874305
113,pisco,-13.7,-76.2167,24.45,83,0,4.63,PE,1736874306
114,sai buri,6.7013,101.6168,26.09,74,92,1.99,TH,1736874308
115,punta arenas,-53.15,-70.9167,14.06,47,40,14.4,CL,1736874309
116,saiha,22.4833,92.9667,13.24,63,0,1.8,IN,1736874310
117,la ronge,55.1001,-105.2842,-14.86,78,20,2.06,CA,1736874311
118,argo,37.6333,22.7333,5.73,94,100,2.52,GR,1736874312
119,codrington,-38.2667,141.9667,18.74,76,100,6.78,AU,1736874314
120,chicoana,-25.1009,-65.5331,27.03,46,20,0.47,AR,1736874315
121,badger,64.8,-147.5333,-3.05,80,75,2.57,US,1736874316
122,ad diwaniyah,31.9905,44.9306,14.57,48,11,4.44,IQ,1736874317
123,skovorodino,53.9833,123.9167,-33.62,100,14,0.57,RU,1736874318
124,ternate,0.8,127.4,25.97,83,100,1.93,ID,1736874320
125,cabo san lucas,22.8909,-109.9124,21.4,58,0,2.57,MX,1736874321
126,aasiaat,68.7098,-52.8699,-33.9,97,79,3.13,GL,1736874323
127,wickenburg,33.9686,-112.7296,9.99,22,0,0.89,US,1736874324
128,nelson,-41.2833,173.2833,15.16,86,100,0.45,NZ,1736874326
129,kemijarvi,66.7131,27.4306,-0.68,80,58,5.28,FI,1736874327
130,tiksi,71.6872,128.8694,-30.27,98,96,2.97,RU,1736874328
131,usogorsk,63.4106,48.6872,-4.89,95,100,4.31,RU,1736874330
132,shingu,33.7333,135.9833,5.01,82,14,2.63,JP,1736874331
133,karasburg,-28.0167,18.75,26.41,19,0,9.81,NA,1736874332
134,zhumysker,49.3333,49.4,-3.26,77,11,3.63,KZ,1736874333
135,tura,25.5198,90.2201,15.38,56,0,1.97,IN,1736874038
136,saint-joseph,-21.3667,55.6167,27.21,78,46,2.61,RE,1736874336
137,kupang,-10.1667,123.5833,27.32,94,100,2.06,ID,1736874337
138,fort bragg,35.139,-79.006,8.71,30,0,5.66,US,1736874108
139,weiser,44.251,-116.9693,-1.89,72,31,1.52,US,1736874340
140,hami,42.8,93.45,-5.94,49,0,0.87,CN,1736874341
141,selfoss,63.9331,-20.9971,7.8,98,100,9.96,IS,1736874343
142,kasempa,-13.4584,25.8338,20.38,91,100,2.04,ZM,1736874344
143,hondo,32.45,130.2,13.64,62,100,7.97,JP,1736874346
144,saldanha,-33.0117,17.9442,18.03,81,51,10.9,ZA,1736874348
145,mukerian,31.9506,75.6158,10.49,46,0,1.4,IN,1736874349
146,crane,31.3974,-102.3501,7.46,51,3,5.79,US,1736874350
147,grand falls-windsor,48.9332,-55.6649,-0.83,81,87,2.29,CA,1736874352
148,sorong,-0.8833,131.25,26.6,82,100,1.38,ID,1736874353
149,port shepstone,-30.7414,30.455,25.43,90,6,9.53,ZA,1736874354
150,alotau,-10.3069,150.4462,25.53,91,99,1.85,PG,1736874356
151,mahavelona,-17.6848,49.5087,25.55,87,100,2.2,MG,1736874193
152,zemio,5.0314,25.1361,27.9,25,80,1.35,CF,1736874358
153,ciudad del carmen,18.6333,-91.8333,23.86,89,86,1.78,MX,1736874116
154,naze,28.3667,129.4833,9.51,68,49,2.33,JP,1736874361
155,el grao,39.798,-0.1321,10.17,49,0,0.88,ES,1736874362
156,sen monorom,12.45,107.2,20.52,84,94,3.83,KH,1736874363
157,vobarno,45.6401,10.5035,2.1,52,0,1.21,IT,1736874365
